Number_Training_Samples,ECFP_MSE_mean,ECFP_MSE_std,FragVAE_MSE_mean,FragVAE_MSE_std,rnd_FragVAE_MSE_mean,rnd_FragVAE_MSE_std,ChemVAE_MSE_mean,ChemVAE_MSE_std,ECFP_RMSE_mean,ECFP_RMSE_std,FragVAE_RMSE_mean,FragVAE_RMSE_std,rnd_FragVAE_RMSE_mean,rnd_FragVAE_RMSE_std,ChemVAE_RMSE_mean,ChemVAE_RMSE_std
10,inf,inf,inf,inf,inf,inf,inf,inf,2.111612772663427,0.22947527035726098,1.7289480207800019,0.17501934885560036,1.8372144132391988,0.30865388326130955,2.1814459152669237,0.21089579118031201
16,inf,inf,inf,inf,inf,inf,inf,inf,1.9992120142623733,0.17343621397267786,1.6835181601551652,0.18814623535982486,1.7067933683068615,0.1354221063686345,2.0468230661827427,0.11659148682320637
25,inf,inf,inf,inf,inf,inf,inf,inf,1.887632258434566,0.1439387201734567,1.610787013985353,0.11501139453869529,1.7108182574076538,0.1352063797759715,1.9250417656320318,0.09657750890525253
40,inf,inf,inf,inf,inf,inf,inf,inf,1.7808872577299508,0.17081459419711775,1.5309730258222707,0.09727304536800886,1.639925442223444,0.09346774285276464,1.8664593992878296,0.09076424685162811
63,inf,inf,inf,inf,inf,inf,inf,inf,1.594186539938585,0.08656778194372891,1.4479230046207932,0.06146125612049492,1.5764350739258797,0.09425800994715468,1.7690799572821045,0.057430956339340186
100,inf,inf,inf,inf,inf,inf,inf,inf,1.472252627040444,0.1072916590097149,1.3953846878436211,0.041523229913597116,1.4957250858157174,0.1051411239063543,1.6901542840770885,0.08368472700855625
