Number_Training_Samples,ECFP_MSE_mean,ECFP_MSE_std,FragVAE_MSE_mean,FragVAE_MSE_std,rnd_FragVAE_MSE_mean,rnd_FragVAE_MSE_std,ChemVAE_MSE_mean,ChemVAE_MSE_std,ECFP_RMSE_mean,ECFP_RMSE_std,FragVAE_RMSE_mean,FragVAE_RMSE_std,rnd_FragVAE_RMSE_mean,rnd_FragVAE_RMSE_std,ChemVAE_RMSE_mean,ChemVAE_RMSE_std
10,inf,inf,inf,inf,inf,inf,inf,inf,1.4946317324177003,0.19119862493069165,1.4088592339536534,0.14247953479915368,1.4433279667466452,0.22461963938031101,1.5751314596950388,0.12310133508786338
16,inf,inf,inf,inf,inf,inf,inf,inf,1.3613843388173184,0.11471275574852585,1.2795464577359859,0.07714146122093175,1.2479046192593755,0.10308958511098601,1.4870444127413094,0.06805947149077073
25,inf,inf,inf,inf,inf,inf,inf,inf,1.2879172252375248,0.035897801600117414,1.2126771190347794,0.06949463552737457,1.2181392407511984,0.10515019074892076,1.4601496517954942,0.051154732900232744
40,inf,inf,inf,inf,inf,inf,inf,inf,1.2597223211989552,0.06611874559753786,1.1444160359324973,0.06246978485058121,1.1866366791229033,0.06686409472416853,1.449081676726087,0.051568497986513605
63,inf,inf,inf,inf,inf,inf,inf,inf,1.1899535853863494,0.04626946101899979,1.1148674401628598,0.051359352079504095,1.14067447545665,0.055114161268972936,1.430331916608818,0.049891932533556775
100,inf,inf,inf,inf,inf,inf,inf,inf,1.1500341991686944,0.04725307774096109,1.039197757718072,0.03761516978034717,1.107654161976463,0.05510242743000694,1.3870868089061024,0.03640495530811378
