Number_Training_Samples,ECFP_MSE_mean,ECFP_MSE_std,FragVAE_MSE_mean,FragVAE_MSE_std,rnd_FragVAE_MSE_mean,rnd_FragVAE_MSE_std,ChemVAE_MSE_mean,ChemVAE_MSE_std,ECFP_RMSE_mean,ECFP_RMSE_std,FragVAE_RMSE_mean,FragVAE_RMSE_std,rnd_FragVAE_RMSE_mean,rnd_FragVAE_RMSE_std,ChemVAE_RMSE_mean,ChemVAE_RMSE_std
10,inf,inf,inf,inf,inf,inf,inf,inf,1.438821848611892,0.14454651790137585,1.3735406214655659,0.11557214613010602,1.3376310212058216,0.1330773292940997,1.5462169738042042,0.11838978775548366
16,inf,inf,inf,inf,inf,inf,inf,inf,1.3640855467208397,0.11479356949799988,1.3099852619055772,0.09701998140787216,1.2763951533220994,0.10312206257887319,1.5098288428628843,0.08827713416041448
25,inf,inf,inf,inf,inf,inf,inf,inf,1.3153344290547495,0.09578602135405613,1.2479074105334373,0.08750379257796012,1.2366806622663364,0.1039708150084194,1.4993645195696668,0.06860034331202394
40,inf,inf,inf,inf,inf,inf,inf,inf,1.2445122332660925,0.06796756221846027,1.1847015701503618,0.07576349800532887,1.1756680682539247,0.06885932914859495,1.460882910641713,0.05989133196826582
63,inf,inf,inf,inf,inf,inf,inf,inf,1.2026016223703981,0.054598774886982546,1.1156124215912842,0.05374258224693963,1.1393199284874826,0.058613767322132145,1.4253413704146665,0.04427353365644475
100,inf,inf,inf,inf,inf,inf,inf,inf,1.1557182919806541,0.04839160264080174,1.0498675814289493,0.0503010692299508,1.1090197901313048,0.057464157348459936,1.3879521517644526,0.0401462283973777
