SE,invalid,num_features,regl2,roc_area,valid,total_correct
1.4752087474070887,53,15.0,0.001,0.9992307604643058,15,68.0
1.4848620716289747,53,17.0,0.001,0.9992823225924277,15,68.0
1.7022232299658875,53,19.0,0.001,0.9992112426571289,15,68.0
1.9582248631135422,53,21.0,0.001,0.9989789825894009,15,68.0
2.361061734462052,53,23.0,0.001,0.9919934296054249,15,68.0
2.003485805379817,53,25.0,0.001,0.9985956834369247,15,68.0
1.824735223587121,53,26.0,0.001,0.999172708478919,15,68.0
1.9334410680529597,53,28.0,0.001,0.9990790831367924,15,68.0
1.8670710509045831,53,30.0,0.001,0.9990699426574574,15,68.0
2.441530284959988,53,15.0,0.0001,0.9623805198771002,15,68.0
2.0545239257119023,53,17.0,0.0001,0.9738313478942573,15,68.0
2.3017375605359276,53,19.0,0.0001,0.9494309044641198,15,68.0
2.4731750412147093,53,21.0,0.0001,0.942732072821709,15,68.0
2.2969797486992896,53,23.0,0.0001,0.9850656955865665,15,68.0
2.348844087133576,53,25.0,0.0001,0.9654699805938011,15,68.0
2.407465057498452,53,26.0,0.0001,0.9455898495558157,15,68.0
2.479089001695622,53,28.0,0.0001,0.9441985343665771,15,68.0
2.7826891761783346,53,30.0,0.0001,0.9385472692801814,15,68.0
2.3589193862171824,53,15.0,1e-05,0.9418464416942814,15,68.0
2.4996548846572497,53,17.0,1e-05,0.9380232946750008,15,68.0
2.0590496642724463,53,19.0,1e-05,0.9746121920077905,15,68.0
2.444449826988476,53,21.0,1e-05,0.9398032134433967,15,68.0
2.860296666900276,53,23.0,1e-05,0.9386299527222983,15,68.0
2.5533777633846446,53,25.0,1e-05,0.937420606367481,15,68.0
3.238314374731863,53,26.0,1e-05,0.9520719795494269,14,67.0
2.453091015608986,53,28.0,1e-05,0.9392118757598962,15,68.0
3.6114030910636865,53,30.0,1e-05,0.9372051142462064,14,67.0
3.7979521670802527,52,15.0,1e-06,0.9546222366743978,15,67.0
2.6858367774108136,53,17.0,1e-06,0.9386015430744483,15,68.0
2.5468127079053176,53,19.0,1e-06,0.9376776142339971,15,68.0
2.6283908348045415,53,21.0,1e-06,0.9467045147469679,15,68.0
3.4825936115211773,53,23.0,1e-06,0.9676154499175954,14,67.0
2.6617618890705543,53,25.0,1e-06,0.9375870989163109,15,68.0
2.552551433316276,53,26.0,1e-06,0.9374102425633796,15,68.0
2.9262055719634077,53,28.0,1e-06,0.9382349759187044,15,68.0
2.6318174911401795,53,30.0,1e-06,0.9377711903525479,15,68.0
2.704137831530576,53,15.0,1e-07,0.9375915157093256,15,68.0
2.093026814598505,53,17.0,1e-07,0.9970158537490084,15,68.0
2.355277543809559,53,19.0,1e-07,0.9925440834356177,15,68.0
2.358165562050014,53,21.0,1e-07,0.9433439769908765,15,68.0
2.654923277380715,53,23.0,1e-07,0.9403088096648258,15,68.0
2.510084493719936,53,25.0,1e-07,0.9375110223950917,15,68.0
3.2829597581071144,53,26.0,1e-07,0.9378624256991794,14,67.0
2.4287078981974917,53,28.0,1e-07,0.996891130816481,15,68.0
2.522411237115151,53,30.0,1e-07,0.9377068994844692,15,68.0
1.9187839227939896,53,15.0,1e-08,0.9986455893590147,15,68.0
2.426295212218535,53,17.0,1e-08,0.9441178672053108,15,68.0
2.6565571681994506,53,19.0,1e-08,0.9395404040058752,15,68.0
2.3854643401421405,53,21.0,1e-08,0.9445338632156662,15,68.0
2.473969413179123,53,23.0,1e-08,0.9518265621829987,15,68.0
3.003211616564937,53,25.0,1e-08,0.9398918296335708,15,68.0
3.0279573605903005,53,26.0,1e-08,0.9394643004917961,15,68.0
2.7808784037968475,53,28.0,1e-08,0.9388227061607995,15,68.0
2.4393284606706147,53,30.0,1e-08,0.9398432617072774,15,68.0
2.3965499366722867,53,15.0,1e-09,0.9588843056761663,15,68.0
2.1822168766477814,53,17.0,1e-09,0.9970739468825791,15,68.0
2.4051131226556524,53,19.0,1e-09,0.9394614812832445,15,68.0
2.4195121594493947,53,21.0,1e-09,0.9446177171087754,15,68.0
2.5471633985802935,53,23.0,1e-09,0.9415474271127239,15,68.0
2.481721581714537,53,25.0,1e-09,0.9423377083464397,15,68.0
3.5049151143134614,52,26.0,1e-09,0.9400925309642323,15,67.0
3.019735095795092,53,28.0,1e-09,0.9389730158821307,14,67.0
2.6403432474021447,53,30.0,1e-09,0.9378410665013355,15,68.0
