SE,invalid,num_features,regl2,roc_area,valid,total_correct
8.105904488527338,51,15.0,0.001,0.9767423097011124,12,62.999999999999986
8.16947725448546,51,17.0,0.001,0.9768790493052506,12,62.999999999999986
7.731289218454699,51,19.0,0.001,0.9800158183932972,12,62.999999999999986
7.367080225126354,51,21.0,0.001,0.9816114581141395,13,63.19999999999999
7.192753041995834,51,23.0,0.001,0.9828351100683923,12,63.0
6.500655695332071,52,25.0,0.001,0.9866654560035886,13,65.2
6.421318904937357,52,26.0,0.001,0.9871207348492617,13,65.0
5.97553336905712,52,28.0,0.001,0.988512502262086,15,67.0
6.043370842629136,52,30.0,0.001,0.9883702554549132,15,67.0
5.635311618937366,52,15.0,0.0001,0.9878532666395745,14,66.0
5.739179143725189,52,17.0,0.0001,0.9880658102741324,15,66.6
6.082239288285857,51,19.0,0.0001,0.9858101831190287,14,65.39999999999999
4.912755119574315,52,21.0,0.0001,0.9914481329227876,15,66.8
4.526178307538861,52,23.0,0.0001,0.9931457659337403,15,66.8
4.237653054449839,52,25.0,0.0001,0.993841261924244,15,67.0
4.369280665490463,52,26.0,0.0001,0.9929185606179602,15,67.0
4.039387402138815,52,28.0,0.0001,0.9943411304097733,15,67.0
3.8595291121638557,52,30.0,0.0001,0.994604598400387,15,67.2
5.941343298478739,52,15.0,1e-05,0.9867710726769892,14,66.0
5.483212161976773,52,17.0,1e-05,0.9879816415752725,15,67.0
5.6427242574489584,52,19.0,1e-05,0.9874068514886551,14,66.0
4.989766480639959,51,21.0,1e-05,0.9918413077621364,15,66.0
4.224578447904474,52,23.0,1e-05,0.9930841554886766,15,67.2
4.046413155345574,52,25.0,1e-05,0.9936015815122572,15,67.0
4.172636775036116,52,26.0,1e-05,0.9943848551930448,15,67.0
3.6238053998007405,53,28.0,1e-05,0.9950057131678378,15,67.8
3.7262180385414014,52,30.0,1e-05,0.9949187209466082,15,67.60000000000001
5.831120728773198,51,15.0,1e-06,0.988047768654342,14,65.0
6.022884176248884,52,17.0,1e-06,0.9857119828940506,15,67.0
5.280048087224709,51,19.0,1e-06,0.988643902751351,15,66.0
5.301945606616279,50,21.0,1e-06,0.9912156786700448,15,65.0
4.3740361115211215,52,23.0,1e-06,0.9930617135099002,15,67.60000000000001
4.151649327074852,52,25.0,1e-06,0.9944486913855476,15,67.0
4.234298234535001,52,26.0,1e-06,0.9941588608623735,15,67.0
3.404316325839554,52,28.0,1e-06,0.9951758050723303,15,67.0
3.6447904438471435,52,30.0,1e-06,0.9951135163319303,15,67.0
5.96675714950916,51,15.0,1e-07,0.9863504562676984,14,65.0
6.478566230618232,50,17.0,1e-07,0.9822247114778476,14,64.0
5.423846743302332,52,19.0,1e-07,0.9886419385572134,15,66.2
4.792154642954034,52,21.0,1e-07,0.9907264432851057,15,67.0
4.6307797289480614,52,23.0,1e-07,0.9918813813135672,15,67.0
4.026847865758979,52,25.0,1e-07,0.9939321609789573,15,67.0
3.9100753716644157,52,26.0,1e-07,0.9946076682899625,15,67.60000000000001
3.4902451589546937,52,28.0,1e-07,0.9953763807908491,15,67.0
3.585403369303176,53,30.0,1e-07,0.9950638225471536,15,67.6
5.609110648839888,51,15.0,1e-08,0.9885675156983866,15,66.0
6.228437660542003,52,17.0,1e-08,0.9858937650791628,13,65.0
5.688914525543848,51,19.0,1e-08,0.9869076013847817,15,66.0
4.79060866694583,51,21.0,1e-08,0.9915401381926057,15,66.0
4.633272339741983,52,23.0,1e-08,0.9918300416172707,15,67.0
4.519301796210281,52,25.0,1e-08,0.9918200098425656,15,67.0
3.9046179716740164,52,26.0,1e-08,0.9944315679972208,15,67.2
3.6014899950784027,53,28.0,1e-08,0.9950987999693074,15,67.6
3.7483490307706235,52,30.0,1e-08,0.9948887402034226,15,67.0
5.299258572488154,52,15.0,1e-09,0.9901403561799076,14,66.0
5.7339216895768015,52,17.0,1e-09,0.9879005404024066,14,66.0
6.273419346027229,51,19.0,1e-09,0.9841296231688492,15,66.0
4.398732650522845,51,21.0,1e-09,0.9934559951257698,15,67.2
3.9211893919972773,52,23.0,1e-09,0.9939601066959556,15,67.0
3.9082929886518065,52,25.0,1e-09,0.9940466498346265,15,67.0
4.085257977057719,52,26.0,1e-09,0.9942204406241615,15,67.0
3.704994976615275,52,28.0,1e-09,0.9945675164794148,15,67.0
3.739173091990306,52,30.0,1e-09,0.9948088468135636,15,67.0
