epoch,loss,val_loss
0,9695.82137451172,8653.612109375
1,7749.937673339844,6901.72109375
2,6163.127506103516,5469.701708984375
3,4865.088503417969,4298.148828125
4,3803.965485229492,3341.460986328125
5,2939.801319580078,2564.94033203125
6,2240.7474234008787,1939.458056640625
7,1680.6316513061524,1441.2797241210938
8,1237.3916989135741,1050.0231811523438
9,891.9749615478515,747.9982666015625
10,627.8227082824707,519.5841430664062
11,430.2838680267334,350.8006958007812
12,286.3293770599365,229.83529663085938
13,184.56033123016357,145.86477355957032
14,115.05609285354615,89.605615234375
15,69.44606825828552,53.4524787902832
16,40.81894639015198,31.69217758178711
17,23.689516377449035,18.719346618652345
18,14.046740152835845,11.559512615203857
19,8.952376357316972,8.302848291397094
20,6.468689597845078,6.524845600128174
21,5.355470010042191,6.025996923446655
22,4.847930799722672,5.756260919570923
23,4.656031822562218,5.508719825744629
24,4.557914332151413,5.421766662597657
25,4.499548028707505,5.265292644500732
26,4.445750036239624,5.221644163131714
27,4.473049151301384,5.144541025161743
28,4.479036850333213,5.029649496078491
29,4.410536043047905,5.127209949493408
30,4.293657816648484,4.957175588607788
31,4.330940093398095,5.024216985702514
32,4.221959984898567,4.918946981430054
33,4.155909586548805,4.906539440155029
34,4.0948971033096315,4.875278615951538
35,4.04188608944416,4.7696921825408936
36,3.9846377825737,4.817740106582642
37,3.967669826745987,4.842570734024048
38,3.9177069771289825,4.8322930335998535
39,3.8962482517957686,4.582057166099548
40,3.8556220531463623,4.550413131713867
41,3.826444603204727,4.640178680419922
42,3.804351681470871,4.632008576393128
43,3.7819490039348604,4.704444360733032
44,3.750215027332306,4.562233304977417
45,3.757529538273811,4.450081777572632
46,3.712593638896942,4.551695394515991
47,3.6915921705961225,4.631616187095642
48,3.6920157545804977,4.5077488899230955
49,3.6539203774929048,4.452665567398071
50,3.63995800614357,4.611763620376587
51,3.6307547801733016,4.685000419616699
52,3.61816344499588,4.634898996353149
53,3.604270714521408,4.503330063819885
54,3.713891358971596,4.595514440536499
55,3.582843754887581,4.488168382644654
56,3.569176071882248,4.6375960350036625
57,3.564602657556534,4.700191974639893
58,3.555697901844978,4.7167785406112674
59,3.5260276556015016,4.499251103401184
60,3.569643905758858,4.737035036087036
61,3.9537577593326567,4.760838174819947
62,3.790007308125496,4.672236919403076
63,3.7329484742879866,4.590986967086792
64,3.696342259645462,4.760573387145996
65,3.6402010959386826,4.590648126602173
66,3.647490853667259,4.7828912258148195
67,3.6051016730070113,4.530473947525024
68,3.5834353059530257,4.726927185058594
69,3.562922946810722,4.655861854553223
70,3.5303458905220033,4.461367845535278
71,3.5448921221494674,4.52189462184906
72,3.531325749158859,4.695705795288086
73,3.5016498869657515,4.5658935546875
74,3.5140092897415163,4.655711460113525
75,3.4846373873949053,4.734882593154907
76,3.498451827764511,4.451940584182739
77,3.472408250570297,4.723205661773681
78,3.4669256538152693,4.784750604629517
79,3.471025500893593,4.274099588394165
80,3.458113163113594,4.510312700271607
81,3.442235251069069,4.411263346672058
82,3.457182939350605,4.26457097530365
83,3.4113778281211853,4.616957569122315
84,3.435024465918541,4.791258049011231
85,3.4290768092870714,4.415220594406128
86,3.4350832414627077,4.464766144752502
87,3.4128717511892317,4.832675194740295
88,3.394667730033398,4.366180276870727
89,3.4085350531339644,4.582925415039062
90,3.399412289261818,4.472943210601807
91,3.379426898062229,4.700913190841675
92,3.393656726181507,4.553485989570618
93,3.377358130812645,4.334085893630982
94,3.3906441259384157,4.563114714622498
95,3.3703830575942995,4.516055965423584
96,3.3842808014154433,4.5514260053634645
97,3.3615909510850908,4.205754280090332
98,3.349764080643654,4.441764760017395
99,3.3636149075627326,4.401294255256653
100,3.3688608783483507,4.650613474845886
101,3.3591083043813708,4.484241485595703
102,3.3553299182653427,4.39281394481659
103,3.3512728679180146,4.358749437332153
104,3.3459868812561036,4.4929670810699465
105,3.3619327557086947,4.285730242729187
106,3.332256442308426,4.645654487609863
107,3.3333508533239367,4.397878980636596
108,3.2990206426382063,4.289659857749939
109,3.308751929998398,4.622062039375305
110,3.3290701565146446,4.446470379829407
111,3.333379691243172,4.542564225196839
112,3.31087174475193,4.539478993415832
113,3.2924824008345603,4.499967813491821
114,3.307867349088192,4.636360669136048
115,3.3090582317113877,4.407201552391053
116,3.297187314629555,4.655052542686462
117,3.2973404043912886,4.429895043373108
118,3.3011195349693296,4.174448037147522
119,3.3158729895949364,4.4505459547042845
120,3.285101360976696,4.456628274917603
121,3.2917786806821825,5.0163187980651855
122,3.3001161271333697,4.6378092765808105
123,3.293574266433716,4.519702625274658
124,3.2850033229589464,4.5071715116500854
125,3.2655621778965,4.7752233982086185
126,3.2739461421966554,4.355119585990906
127,3.282861753702164,4.553488492965698
128,3.2708910876512527,4.524714398384094
129,3.3061123698949815,4.256412649154663
130,3.270356850028038,4.423383951187134
131,3.26939276188612,4.664439463615418
132,3.2821326357126237,4.349375629425049
133,3.284746218919754,4.536811685562133
134,3.271774011850357,4.354088187217712
135,3.254537181854248,4.535189247131347
136,3.2607054245471954,4.417521715164185
137,3.24460315823555,4.490691900253296
138,3.2717273086309433,4.298844361305237
139,3.2611418676376345,4.289041328430176
140,3.2584432631731035,4.499366331100464
141,3.234720287322998,4.72183084487915
142,3.2649802702665327,4.264022254943848
