SE,invalid,num_features,regl2,roc_area,valid,total_correct
4.0551977776176,51,15.0,0.001,0.6759579049405866,14,66.8
4.025276978666834,51,17.0,0.001,0.6764907148801989,15,66.2
5.098242289548612,51,19.0,0.001,0.6729125259338304,15,66.0
2.7630883088086002,52,21.0,0.001,0.6898001453387088,14,67.2
3.90218702670006,53,23.0,0.001,0.6299486990320703,14,66.99999999999999
3.896682120696566,52,25.0,0.001,0.6977240253022761,15,67.0
4.070447647800683,52,26.0,0.001,0.7249637155297532,15,67.0
2.230619956194721,53,28.0,0.001,0.6873569106885218,15,67.8
4.373294556247497,53,30.0,0.001,0.6615442093036432,14,67.0
5.403909922535621,52,15.0,0.0001,0.5419544586702606,14,66.0
2.858187324637516,52,17.0,0.0001,0.6379607699081935,15,67.0
7.537084743731808,52,19.0,0.0001,0.556130209069191,13,65.0
4.518051957887396,51,21.0,0.0001,0.6334598031173093,15,66.0
3.9285237651086353,53,23.0,0.0001,0.6746642515867561,14,67.0
10.083325274546361,51,25.0,0.0001,0.5212038475205759,13,64.0
6.058843285071852,52,26.0,0.0001,0.5771516143461288,14,66.0
9.728203858280972,51,28.0,0.0001,0.5219747822931785,13,64.0
6.115945002667873,51,30.0,0.0001,0.589563605450209,15,66.0
5.647265500547847,51,15.0,1e-05,0.5968348807028052,15,66.0
4.178809284390277,52,17.0,1e-05,0.5816767420755599,14,66.0
7.705127558353162,50,19.0,1e-05,0.6075060579961085,15,65.0
5.428529850068455,52,21.0,1e-05,0.576237079366889,14,66.0
10.443159602964712,50,23.0,1e-05,0.5452706449137681,13,63.0
12.010200798464023,52,25.0,1e-05,0.4603183721536344,11,63.0
9.109860248292614,51,26.0,1e-05,0.5942506620324396,13,64.0
4.515000222929417,52,28.0,1e-05,0.5970172399041752,15,67.0
11.0202435346063,51,30.0,1e-05,0.5806954555077355,12,63.0
10.004669370674428,52,15.0,1e-06,0.4896524466099938,12,64.0
5.0841516577970856,50,17.0,1e-06,0.5937973167452589,14,66.4
5.400563937396957,52,19.0,1e-06,0.5941355783530067,14,66.0
3.874787997525237,51,21.0,1e-06,0.630800760431204,16,67.0
5.640392096332925,50,23.0,1e-06,0.634708704269643,15,65.0
3.5812936324535234,52,25.0,1e-06,0.5999597930605977,14,66.0
6.41327973364646,52,26.0,1e-06,0.5262592314430482,13,65.0
6.774857792964732,52,28.0,1e-06,0.5671812012499106,13,65.0
3.9874072474517273,52,30.0,1e-06,0.5987605872966901,15,67.0
6.100532514855951,52,15.0,1e-07,0.5186275234995562,14,66.0
9.585618833516254,50,17.0,1e-07,0.5404269930424637,14,64.0
7.882188224012218,50,19.0,1e-07,0.5860691150165234,15,65.0
9.408082292579854,50,21.0,1e-07,0.5464012297305443,14,64.0
7.7386709642563805,51,23.0,1e-07,0.5223795442126579,13,64.0
6.258929291052353,53,25.0,1e-07,0.48996151651304576,13,66.0
9.958687664285787,52,26.0,1e-07,0.5124892795883362,12,64.0
6.1913092712742515,51,28.0,1e-07,0.61642376534834,15,66.0
8.26173091249294,52,30.0,1e-07,0.5529688840051458,13,65.0
8.21520779852426,51,15.0,1e-08,0.5365756410537577,14,65.0
9.930008066271716,51,17.0,1e-08,0.5293923979986488,13,64.0
5.79968309965568,52,19.0,1e-08,0.544595881712627,14,66.0
6.029892821340549,52,21.0,1e-08,0.5776107942079859,14,66.0
9.482930448155248,52,23.0,1e-08,0.5477301367630235,12,64.0
4.386234974186934,53,25.0,1e-08,0.5282878481581311,14,67.0
4.446571751509198,51,26.0,1e-08,0.6001816542735275,15,66.0
7.455247497461607,52,28.0,1e-08,0.567448549100193,13,65.0
6.203713575812982,52,30.0,1e-08,0.5252953668878545,14,66.0
9.198200248583904,51,15.0,1e-09,0.5382967096180395,13,64.0
7.542851628393864,51,17.0,1e-09,0.5889214686384499,14,65.0
4.011341750074037,53,19.0,1e-09,0.5808397382005072,14,67.0
6.555696019456967,52,21.0,1e-09,0.5774197136572186,13,65.0
3.87005288345595,52,23.0,1e-09,0.6005653440621532,15,67.0
3.5789738093124512,52,25.0,1e-09,0.5658054294156097,15,67.0
7.7652520436820485,52,26.0,1e-09,0.5064311143900395,13,65.0
7.519459002096052,51,28.0,1e-09,0.6253682103371485,14,65.0
11.859039965779079,51,30.0,1e-09,0.519118582871531,12,63.0
